"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85"
"Loc_1",0.003436,0.003436,0.003608,0.003436,0.003624,0.003608,0.003624,0.003624,0.003608,0.003608,0.003608,0.003436,0.003608,0.003429,0.003608,0.003436,0.003624,0.003429,0.003624,0.003624,0.003608,0.003429,0.003429,0.003429,0.003608,0.003429,0.003429,0.003436,0.003429,0.003429,0.003436,0.003429,0.003624,0.003624,0.003608,0.003624,0.003429,0.003436,0.003429,0.003436,0.003624,0.003608,0.003608,0.003429,0.003608,0.003436,0.003624,0.003624,0.003429,0.003429,0.003608,0.003608,0.003624,0.003624,0.003624,0.003608,0.003608,0.003436,0.003429,0.003624,0.003436,0.003429,0.003608,0.003429,0.003436,0.003436,0.003429,0.003608,0.003624,0.003429,0.003429,0.003608,0.003624,0.003429,0.003436,0.003608,0.003429,0.003608,0.003624,0.003429,0.003608,0.003429,0.003436,0.003608,0.003624
"Loc_2",0.00261,0.00261,0.002497,0.00261,0.00261,0.00261,0.00261,0.00261,0.00261,0.00261,0.002497,0.002497,0.00261,0.00261,0.00261,0.002497,0.00261,0.002497,0.002497,0.002497,0.00261,0.00261,0.00261,0.00261,0.002497,0.002497,0.00261,0.00261,0.00261,0.00261,0.002497,0.002497,0.00261,0.002497,0.002497,0.002497,0.00261,0.00261,0.00261,0.00261,0.00261,0.002497,0.002497,0.00261,0.002497,0.00261,0.00261,0.002497,0.00261,0.00261,0.002497,0.002497,0.00261,0.002497,0.002497,0.002497,0.002497,0.00261,0.00261,0.002497,0.002497,0.002497,0.002497,0.00261,0.002497,0.00261,0.00261,0.002497,0.00261,0.00261,0.002497,0.002497,0.002497,0.002497,0.002497,0.002497,0.002497,0.00261,0.00261,0.00261,0.002497,0.002497,0.00261,0.00261,0.002497
"Loc_3",0.002772,0.002493,0.00273,0.002762,0.002762,0.002871,0.002871,0.002762,0.002483,0.002421,0.002421,0.002421,0.002732,0.002311,0.002762,0.00273,0.002732,0.00273,0.002871,0.002871,0.002732,0.002762,0.002871,0.002421,0.002421,0.002493,0.002927,0.002927,0.002493,0.002927,0.002311,0.002772,0.002311,0.002493,0.002493,0.002311,0.002311,0.002927,0.002762,0.002762,0.002493,0.00273,0.002871,0.002421,0.002493,0.002311,0.00273,0.00273,0.002762,0.002762,0.002311,0.002421,0.002421,0.002493,0.00273,0.002483,0.002762,0.002871,0.002483,0.00273,0.002762,0.002772,0.002871,0.002493,0.00273,0.002772,0.002772,0.002772,0.002311,0.002483,0.002762,0.002732,0.002732,0.002311,0.002732,0.002772,0.002772,0.002927,0.002772,0.002871,0.002483,0.002772,0.00273,0.002421,0.002871
"Loc_4",0.002458,0.002513,0.002694,0.002513,0.002513,0.002513,0.002422,0.002694,0.002422,0.002262,0.002417,0.002513,0.002677,0.002709,0.002262,0.002513,0.002516,0.002417,0.002513,0.002694,0.002422,0.002417,0.002417,0.002262,0.002458,0.002694,0.002262,0.002709,0.002709,0.002513,0.002709,0.002677,0.002709,0.002694,0.002677,0.002516,0.002516,0.002422,0.002513,0.002417,0.002458,0.002422,0.002709,0.002458,0.002516,0.002709,0.002417,0.002458,0.002417,0.002709,0.002417,0.002513,0.002422,0.002417,0.002516,0.002417,0.002458,0.002262,0.002422,0.002677,0.002513,0.002516,0.002709,0.002709,0.002458,0.002417,0.002677,0.002422,0.002422,0.002458,0.002458,0.002513,0.002677,0.002709,0.002422,0.002709,0.002513,0.002262,0.002677,0.002513,0.002417,0.002694,0.002513,0.002458,0.002677
"Loc_5",0.002677,0.00271,0.002677,0.00271,0.002576,0.002576,0.00271,0.002576,0.002677,0.00271,0.00271,0.00271,0.00271,0.002677,0.002677,0.002677,0.002576,0.002677,0.00271,0.00271,0.002576,0.002677,0.002576,0.00271,0.00271,0.00271,0.00271,0.00271,0.002677,0.002677,0.00271,0.002677,0.002576,0.002677,0.002576,0.002576,0.002576,0.00271,0.002576,0.00271,0.002576,0.002576,0.002576,0.002576,0.002677,0.002677,0.002576,0.002576,0.002576,0.00271,0.002576,0.002576,0.00271,0.002677,0.00271,0.00271,0.002677,0.00271,0.00271,0.00271,0.002576,0.002576,0.002576,0.002677,0.002677,0.00271,0.00271,0.00271,0.00271,0.00271,0.002677,0.002576,0.002677,0.002576,0.002576,0.002677,0.002576,0.002677,0.00271,0.00271,0.002677,0.002576,0.00271,0.002677,0.002677
"Loc_6",0.002754,0.002754,0.002773,0.002773,0.002754,0.002754,0.002773,0.002754,0.002754,0.002754,0.002754,0.002773,0.002754,0.002773,0.002773,0.002754,0.002773,0.002754,0.002754,0.002773,0.002754,0.002773,0.002754,0.002773,0.002754,0.002773,0.002773,0.002773,0.002754,0.002773,0.002773,0.002773,0.002773,0.002773,0.002773,0.002754,0.002773,0.002773,0.002754,0.002754,0.002773,0.002754,0.002773,0.002773,0.002773,0.002754,0.002754,0.002773,0.002754,0.002754,0.002773,0.002754,0.002754,0.002754,0.002754,0.002754,0.002773,0.002773,0.002773,0.002773,0.002754,0.002754,0.002754,0.002773,0.002773,0.002754,0.002773,0.002754,0.002754,0.002754,0.002754,0.002773,0.002754,0.002773,0.002773,0.002773,0.002754,0.002773,0.002754,0.002754,0.002754,0.002773,0.002773,0.002773,0.002754
"Loc_7",0.003699,0.003698,0.003769,0.003769,0.003769,0.003699,0.003698,0.003699,0.003769,0.003698,0.003699,0.003769,0.003769,0.003698,0.003699,0.003699,0.003698,0.003698,0.003698,0.003699,0.003698,0.003769,0.003699,0.003769,0.003699,0.003769,0.003769,0.003769,0.003699,0.003699,0.003699,0.003769,0.003769,0.003699,0.003769,0.003769,0.003769,0.003699,0.003699,0.003698,0.003698,0.003699,0.003699,0.003699,0.003698,0.003698,0.003769,0.003699,0.003699,0.003698,0.003699,0.003698,0.003699,0.003769,0.003698,0.003699,0.003699,0.003769,0.003769,0.003698,0.003769,0.003699,0.003769,0.003769,0.003699,0.003698,0.003769,0.003699,0.003698,0.003698,0.003699,0.003698,0.003699,0.003698,0.003698,0.003698,0.003769,0.003699,0.003698,0.003769,0.003698,0.003769,0.003699,0.003769,0.003699
"Loc_8",0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403
"Loc_9",0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826,0.000826
"Loc_10",0.000684,0.000684,0.000722,0.000684,0.000684,0.000684,0.000722,0.000684,0.000722,0.000722,0.000684,0.000684,0.000722,0.000684,0.000684,0.000722,0.000684,0.000684,0.000684,0.000684,0.000684,0.000722,0.000722,0.000684,0.000722,0.000722,0.000722,0.000684,0.000684,0.000722,0.000684,0.000684,0.000684,0.000684,0.000684,0.000684,0.000684,0.000684,0.000684,0.000722,0.000722,0.000722,0.000722,0.000684,0.000722,0.000722,0.000722,0.000722,0.000722,0.000722,0.000722,0.000684,0.000684,0.000722,0.000684,0.000722,0.000684,0.000722,0.000722,0.000722,0.000722,0.000722,0.000684,0.000684,0.000684,0.000722,0.000722,0.000722,0.000722,0.000722,0.000722,0.000722,0.000722,0.000722,0.000722,0.000722,0.000722,0.000684,0.000722,0.000684,0.000722,0.000722,0.000684,0.000684,0.000722
